cycle,range_bin,doppler_bin,output_hex
1174115000,25,18,00a7002e
1174125000,25,19,00d10030
1174135000,25,20,ff340088
1174145000,25,21,ffcdff22
1174155000,25,22,00cd0160
1174165000,25,23,fe22fe37
1174175000,25,24,039b01e7
1174185000,25,25,fd55fd6f
1174195000,25,26,00f00208
1174205000,25,27,ff5bff74
1174215000,25,28,01510014
1174225000,25,29,fed2005d
1174235000,25,30,01e4fff1
1174245000,25,31,fc6bfecd
1179325000,26,0,0038fe21
1179335000,26,1,00f90100
1179345000,26,2,fe9800b6
1179355000,26,3,01a5fdf5
1179365000,26,4,fd9a0176
1179375000,26,5,024a0190
1179385000,26,6,fefffe42
1179395000,26,7,00420167
1179405000,26,8,0008fdb2
1179415000,26,9,ff370348
1179425000,26,10,017cfcc8
1179435000,26,11,fe63022f
1179445000,26,12,02befe39
1179455000,26,13,fd35016f
1179465000,26,14,00fffd91
1179475000,26,15,019b0283
1179485000,26,16,fd18ffbd
1179495000,26,17,02b30050
1179505000,26,18,fd2cfe52
1179515000,26,19,011d007f
1179525000,26,20,0114007c
1179535000,26,21,fefa0062
1179545000,26,22,00ebff84
1179555000,26,23,febcff3f
1179565000,26,24,011c0214
1179575000,26,25,0055fdc4
1179585000,26,26,febc001c
1179595000,26,27,ffcb005d
1179605000,26,28,01900151
1179615000,26,29,fe5ffe73
1179625000,26,30,01bb014d
1179635000,26,31,fe57fff7
1184715000,27,0,01a40066
1184725000,27,1,ff690171
1184735000,27,2,ffbffef8
1184745000,27,3,002c013d
1184755000,27,4,febe001c
1184765000,27,5,02b6ffb8
1184775000,27,6,fe12001d
1184785000,27,7,ffcbfec0
1184795000,27,8,011a015b
1184805000,27,9,000fff9f
1184815000,27,10,ffacfe53
1184825000,27,11,000e027a
1184835000,27,12,ff40fe8d
1184845000,27,13,01bf006d
1184855000,27,14,fcd4fef7
1184865000,27,15,02f000da
1184875000,27,16,feaeffd4
1184885000,27,17,00ef0149
1184895000,27,18,fe41fde6
1184905000,27,19,00ec01f5
1184915000,27,20,0026feb2
1184925000,27,21,fea600f6
1184935000,27,22,0232ffb9
1184945000,27,23,feb7fe60
1184955000,27,24,006002eb
1184965000,27,25,ffe1fdd3
1184975000,27,26,009c016b
1184985000,27,27,feaeff70
1184995000,27,28,0188fff5
1185005000,27,29,fee50099
1185015000,27,30,01680157
1185025000,27,31,fe32fc7a
1190105000,28,0,0298013a
1190115000,28,1,fdd0fe5e
1190125000,28,2,01de01dd
1190135000,28,3,feffff65
1190145000,28,4,fecfff5b
1190155000,28,5,04120065
1190165000,28,6,fbe400df
1190175000,28,7,016dffc8
1190185000,28,8,0028fe97
1190195000,28,9,ff6201de
1190205000,28,10,fffcfe12
